target,feature_type,feature_name,auc_loco,auprc_loco,delta_auc_vs_controls,delta_auprc_vs_controls
outcome_joined_team,controls_only,__controls__,0.6934338952972494,0.570977207856028,0.0,0.0
outcome_joined_team,single_subcode_plus_controls,subcode__ambiguous,0.6995267672286306,0.580681625243687,0.006092871931381194,0.009704417387659037
outcome_joined_team,single_subcode_plus_controls,subcode__asks_clarifying_question,0.6911761806171743,0.5682774695954591,-0.0022577146800750736,-0.002699738260568907
outcome_joined_team,single_subcode_plus_controls,subcode__asks_factual_question,0.690348023267278,0.5712963167865952,-0.0030858720299714593,0.00031910893056719125
outcome_joined_team,single_subcode_plus_controls,subcode__asks_for_elaboration,0.7014985704426698,0.5856743795661798,0.008064675145420419,0.014697171710151835
outcome_joined_team,single_subcode_plus_controls,subcode__asks_for_opinion,0.7048309178743961,0.5964935820375472,0.011397022577146698,0.025516374181519197
outcome_joined_team,single_subcode_plus_controls,subcode__asks_rhetorical_question,0.6874691905747806,0.5702257142506617,-0.005964704722468794,-0.0007514936053663046
outcome_joined_team,single_subcode_plus_controls,subcode__attributes_to_other,0.6931874198954945,0.5705148935460126,-0.0002464754017549309,-0.00046231431001542145
outcome_joined_team,single_subcode_plus_controls,subcode__calls_for_decision,0.7384304446416248,0.6148587911721155,0.04499654934437536,0.04388158331608749
outcome_joined_team,single_subcode_plus_controls,subcode__checks_consensus,0.7159518880015776,0.5991345568163994,0.022517992704328194,0.028157348960371364
outcome_joined_team,single_subcode_plus_controls,subcode__combines_ideas,0.7188307206940747,0.6170729849248087,0.025396825396825307,0.04609577706878065
outcome_joined_team,single_subcode_plus_controls,subcode__compares_options,0.6976042590949423,0.578743482515111,0.0041703637976928665,0.007766274659082972
outcome_joined_team,single_subcode_plus_controls,subcode__connects_methods,0.7092280390417036,0.6050365019492165,0.015794143744454203,0.03405929409318853
outcome_joined_team,single_subcode_plus_controls,subcode__critiques_or_challenges,0.6972493345164152,0.5874451798958318,0.003815439219165828,0.01646797203980377
outcome_joined_team,single_subcode_plus_controls,subcode__devil_advocate,0.6929705215419502,0.5696042222489254,-0.00046337375529925673,-0.0013729856071026392
outcome_joined_team,single_subcode_plus_controls,subcode__encourages_participation,0.7667455387952282,0.6687532291482718,0.0733116434979788,0.09777602129224383
outcome_joined_team,single_subcode_plus_controls,subcode__expertise_complementarity,0.6927536231884059,0.5800794033941276,-0.0006802721088434716,0.009102195538099545
outcome_joined_team,single_subcode_plus_controls,subcode__explicit_role_assignment,0.6921029281277729,0.568239715384403,-0.0013309671694765601,-0.002737492471625025
outcome_joined_team,single_subcode_plus_controls,subcode__expresses_appreciation,0.7581090407177364,0.6647265556489019,0.06467514542048702,0.09374934779287392
outcome_joined_team,single_subcode_plus_controls,subcode__expresses_enthusiasm,0.690604357685103,0.5709160297320267,-0.0028295376121464377,-6.117812400130429e-05
outcome_joined_team,single_subcode_plus_controls,subcode__extends_existing_idea,0.7488119885635414,0.6651866584661366,0.05537809326629195,0.09420945061010855
outcome_joined_team,single_subcode_plus_controls,subcode__field_significance,0.6986788918465938,0.5764319765465615,0.005244996549344405,0.005454768690533518
outcome_joined_team,single_subcode_plus_controls,subcode__frames_shared_problem,0.7172434191067731,0.597370590942588,0.023809523809523725,0.02639338308656003
outcome_joined_team,single_subcode_plus_controls,subcode__funding_priority_alignment,0.7130434782608694,0.5943893159624911,0.01960958296362003,0.023412108106463103
outcome_joined_team,single_subcode_plus_controls,subcode__identifies_common_ground,0.6989352262644187,0.5745452803667085,0.005501330967169316,0.0035680725106804756
outcome_joined_team,single_subcode_plus_controls,subcode__implicit_role_suggestion,0.6935620625061618,0.5705631734422789,0.00012816720891239974,-0.0004140344137490981
outcome_joined_team,single_subcode_plus_controls,subcode__individual_framing,0.7480528443261362,0.6367819847600381,0.054618949028886754,0.0658047769040101
outcome_joined_team,single_subcode_plus_controls,subcode__invites_contribution,0.8299911268855368,0.7488624101930643,0.13655723158828736,0.1778852023370363
outcome_joined_team,single_subcode_plus_controls,subcode__joint_framing,0.7157547076801734,0.585803391505162,0.022320812382923938,0.014826183649134017
outcome_joined_team,single_subcode_plus_controls,subcode__manages_tension,0.7222320812382925,0.6120538701664101,0.02879818594104311,0.041076662310382095
outcome_joined_team,single_subcode_plus_controls,subcode__method_complementarity,0.6903283052351374,0.5730775486889119,-0.0031055900621119736,0.002100340832883907
outcome_joined_team,single_subcode_plus_controls,subcode__none,0.6946859903381642,0.5720938839096594,0.0012520950409148357,0.0011166760536314158
