session,position,utterance_id,speaker,timestamp,text,gemini_code,links_to,how_resolved,links_to_name
NES_S4,1,32,Charles McCrory,01:25-02:27,doing that as low temperature ammonia synthesis... low temperature hydrogenation for distributed ammonia,proposes_new_idea,— (new idea),,
NES_S4,2,46,Adam Holewinski,06:54-08:30,since no single commodity chemical is gonna make a giant dent... the number was still small,raises_concern,#32 (Charles McCrory),matched an idea on the table,
NES_S4,3,47,Charles McCrory,08:31-08:55,I think the one stat that I remember from there was the decarbonizing polymerization chemistry,extends_existing_idea,#46 (Adam Holewinski),explanation named the person,Adam Holewinski
NES_S4,4,49,Charles McCrory,09:51-10:01,there's also the diol oxidation chemistry,extends_existing_idea,#47 (Charles McCrory),matched an idea on the table,
NES_S4,5,50,Charles McCrory,00:00-00:06,from some sort of oxalate CO2 CO2 coupling sort of intermediates.,extends_existing_idea,#49 (Charles McCrory),fallback — most recent prior idea,
NES_S4,6,51,Sen Zhang,00:06-00:20,"Not just oxidation for fewer applications about the polymer building blocks, it can be also be reduced, right, and generate useful fuels directly",extends_existing_idea,#50 (Charles McCrory),fallback — most recent prior idea,
MZT_S5,1,27,Joyce Jose,06:52-08:17,I think sequencing and knowing the sequences of viruses... detection of these viruses and their sequences... surveillance is very important,proposes_new_idea,— (new idea),,
MZT_S5,2,39,Pilar Fernandez,04:41-06:24,how we achieve sustainability of the surveillance system guide more like actually empirically informed surveillance... use a lot of information from just endemic diseases,"proposes_new_idea, extends_existing_idea",#27 (Joyce Jose),matched an idea on the table,
MZT_S5,3,40,Matt Erdman,06:25-06:48,What's the actionable outcome of surveillance?,redirects_idea,#39 (Pilar Fernandez),matched an idea on the table,
MZT_S5,4,61,Pilar Fernandez,08:43-10:00,"we're always focusing about human disease. But do we just want to care about that or do we really want to approach like more sustainable health in general going back to what Matt said originally about the things coming together, that you have to have the pathogen, the host in the same time and space","critiques_or_challenges, returns_to_earlier_idea",#40 (Matt Erdman),explanation named the person,Matt Erdman
MZT_S5,5,108,Matt Erdman,04:55-05:23,point of care sequencing I would say falls under the umbrella of continued evolutions of diagnostics.,synthesizes_contributions,#61 (Pilar Fernandez),matched an idea on the table,
MZT_S5,6,109,Pilar Fernandez,05:24-05:35,"that also goes with trying to make it accessible in terms of money, like how expensive these things might be.",extends_existing_idea,#108 (Matt Erdman),matched an idea on the table,
